Price,Size,Bed,Bath
2500000,656.0,2,2
3200000,830.0,2,2
7400000,1500.0,3,4
4500000,1150.0,3,2
5000000,1100.0,3,2
6000000,940.0,2,2
8500000,1542.0,3,3
2400000,650.0,2,2
4200000,1000.0,3,2
13000000,2066.0,3,4
2500000,656.0,2,2
7400000,1500.0,3,4
5800000,1050.0,3,2
5450000,1050.0,3,2
4000000,1300.0,3,2
5616000,1248.0,3,3
5616000,1248.0,3,3
8140000,1400.0,3,3
4500000,1200.0,3,2
4900000,900.0,2,2
6300000,1400.0,3,3
6800000,1285.0,3,3
2400000,650.0,2,2
2500000,650.0,2,2
2200000,650.0,2,2
5500000,1250.0,3,2
6000000,1300.0,3,3
13500000,1872.0,3,3
5200000,1250.0,3,3
5200000,1100.0,3,3
5000000,955.0,3,2
6750000,1500.0,3,3
6300000,1400.0,3,3
6000000,1500.0,3,3
7000000,1412.0,3,3
8500000,1412.0,3,3
4000000,850.0,2,2
7000000,1361.0,3,4
4725000,1050.0,3,2
8500000,1450.0,3,3
6300000,1400.0,3,3
6300000,1400.0,3,3
6800000,1285.0,3,3
13500000,1872.0,3,3
3000000,650.0,2,2
5800000,1100.0,3,2
6133000,1115.0,3,3
6300000,1400.0,3,3
10500000,1553.0,3,3
6000000,1350.0,3,3
6000000,1350.0,3,3
6200000,1000.0,3,2
3841000,835.0,2,2
3700000,920.0,3,2
6000000,1100.0,3,3
7000000,1360.0,3,3
5500000,1050.0,3,2
5363000,975.0,3,2
5363000,975.0,3,2
5363000,975.0,3,2
5363000,975.0,3,2
4000000,1000.0,2,2
5000000,1050.0,3,2
4725000,1050.0,3,2
4500000,1000.0,2,2
3800000,1000.0,3,2
4500000,1000.0,2,2
5000000,1075.0,3,2
5363000,975.0,3,2
4000000,950.0,3,2
8000000,1265.0,3,2
8500000,1275.0,3,3
7500000,1500.0,3,3
7084999,1090.0,3,3
3500000,650.0,2,2
3000000,698.0,2,2
3060000,680.0,2,2
3060000,680.0,2,2
6000000,1050.0,3,2
6075000,1350.0,3,3
2800000,650.0,2,2
6000000,1500.0,3,3
4500000,1000.0,2,2
8000000,1265.0,3,3
5000000,1000.0,3,3
5300000,960.0,3,2
10500000,1500.0,3,3
8500000,1250.0,3,3
3600000,1000.0,2,2
3000000,698.0,2,2
3000000,698.0,2,2
5500000,930.0,3,3
6075000,1350.0,3,3
4500000,1000.0,2,2
4500000,1000.0,2,2
4500000,1000.0,2,2
4500000,950.0,2,2
4500000,950.0,2,2
4500000,950.0,3,2
4500000,950.0,3,2
4500000,950.0,3,2
4500000,950.0,3,2
4500000,950.0,3,2
4500000,950.0,3,2
4500000,950.0,3,2
5000000,1220.0,3,2
5000000,1220.0,3,2
